DDO Code,DDO Designation
02010102001,"AGRL (MSTL), ASST DIRECTOR, V S P"
02010102002,"AGRL, ADMN OFFICER O/o JT DIRECTOR, V S P"
02010102003,"AGRL, ASST DIRECTOR(R), V S P"
02010102004,"AGRL MARKETING COMMITTEE, SECY, V S P"
02010102006,"ATMA, PROJECT DIR, V S P"
02010103001,"ATMA, PROJECT DIR, V S P"
02010105001,"DIST CO-OP REGISTRATIONS,JOINT REGISTER, V S P"
02010105002,"DIVL CO-OP OFFICE, V S P"
02010302001,"INSTITUTE OF CHEMICAL ENG, GOVT, V S P"
02010302002,"POLYTECHNIC COLLEGE, GOVT, ADMN OFFICER, V S P"
02010304002,"DEGREE COLLEGE, DRVSK, ADMN OFFICER,V S P"
02010307005,"INTERMEDIATE EDUCATION BOARD, REGIONAL INSPECTION OFFICER, VSP"
02010308001,"DIST EDUCATIONAL OFFICER, GAO, V S P"
02010308004,"HIGH SCHOOL, QMGIRLS, GOVT, V S P"
02010308006,"HIGH SCHOOL, RAILWAY, GOVT, HEAD MASTER, V S P"
02010308008,"ZILLA PARAISHAD, DY EE, V S P"
02010308013,"RAJIV VIDYA MISSION (SSA), ASST ACCOUNTS OFFICER, V S P"
02010308111,"RMSA, DEO & EX-OFFICIO PROJECT COORDINATOR,V S P"
02010313001,"ZILLA GRANDHALAYA SAMSTH, SECY, V S P"
02010320001,"ANDHRA UNIVERSITY, REGISTRAR, V S P"
02010330001,"REGIONAL LIBRARY, GAZ LIBRARIAN, V S P"
02010402002,"DIVL FOREST OFFICER, (SCC) V S P"
02010602001,DIST SUPPLY OFFCITY VPATNAM 
02010602002,"DIST SUPPY OFFICER,V S P"
02010602003,"ASST SUPPLY OFFICER- I, V S P"
02010602005,"ASST SUPPLY OFFICER-III, V S P"
02010702002,"DIST TREASURY, ASST TRY OFFICER, V S P"
02010704001,JD DIO GOVT OF AP VSP
02010705002,"IRRIGATION, PAY & ACCOUNTS OFFICE, V S P"
02010705005,"FOREST, PAY & ACCOUNTS OFFICE, V S P"
02010902001,"ANDHRA MEDICAL COLLEGE, ASST DIRECTOR (ADMIN),V S P"
02010902002,"RHC, MEDICAL OFFICER, SIMHACHALAM, V S P DIST"
02010902003,"KING GEORGE HOSPITAL, ASST, DIRECTOR(ADMN), V S P"
02010902005,AOGVH V S P
02010902009,LSTGRIIGH MENTALCAREVSP
02010902010,"KING GEORGE HOSPITAL, SUPERINTENDET, ARTIFICIAL LIMB FIT, V S P"
02010902011,"ENT HOSPITAL GOVT, ADMN OFFICER, V S P"
02010903002,"DIRECTOR OF MEDICAL & HEALTH OFFICER, ADMNOFFICER, V S P"
02010903019,CMOH VMC V S P
02010903027,"AP MEDICAL SERVICES INFRASTRUCTURE DEV CORP, EXE ENGINEER, VSP"
02010903029,"DIST COORDINATOR OF HEALTH SERVICES, V S P"
02011003001,"CENTRAL PRISION, PATO SUPDT, V S P"
02011003003,"CENTRAL PRISION, PATO SUPDT, V S P"
02011204001,"DIST WATER MNGMT AGENCY, PROJECT DIR, V S P"
02011207001,"GROUND WATER DEPARTMENT(HG), DY DIRECTOR, V S P"
02011211002,"IRRIGATION DIVISION, EXE ENGINEER, V S P"
02011307002,"MINES & GEOLOGY, ASST DIRECTOR, V S P"
02011502001,"ITI (OLD), PRL, V S P"
02011502002,"ITI (NEW), PRL, V S P"
02011502003,"ITI (GIRLS), PRL, V S P"
02011502004,CM ITPO LABCOURT VPATNAM 
02011503002,"LABOUR, JOINT COMMISSIONER, V S P"
02011503003,"LABOUR, DY COMMISSIONER, V S P"
02011503006,"LABOUR, ASST COMMISSIONER, CIR II, V S P"
02011503018,"LABOUR, JOINT COMMISSIONER(STEEL PLANT), V S P"
02011603005,"DIST JUDGE, V S P"
02011603012,"1ST ADDL JUNIOR CIVIL JUDGE, V S P"
02011603014,"SENIOR CIVIL JUDGE, GAJUWAKA"
02011603015,"PRL JUNIOR CIVIL JUDGE, V S P"
02011603017,"PRL SENIRO CIVIL JUDGE, V S P"
02011603018,"II METO MEGI COURT (RAILWAYS), V S P"
02011603024,"DIST LEGAL SERVICES AUTHORITY, DIST JUDGE CUM CHAIRMAN, V S P"
02011603025,"JUNIOR CIVIL JUDGE, GAJUWAKA"
02011603028,"RENT CONTROLL COURT, V S P"
02011603029,"VTH ADDL DIST SESSIONS JUDGE, V S P"
02011603030,"OFFICIAL RECEIVER, V S P"
02011603031,"DIST CONSUMER FORM, PRDT, V S P "
02011603044,"DIST LEGAL SERVICES AUTHORITY DCP, SECY, V S P"
02011603049,"DIST CONSUMER FORUM II,CHAIRMAN, V S P"
02011603052,"FAMILY COURT, ADDL JUDGE, V S P"
02011603062,"II ADDL SESSIONS JUDGE FOR CBI CASES, V S P"
02011804001,"SUPDTENG(PH), V S P"
02011804002,"EXEENG PH, V S P"
02011806001,"GVMC, ADDL COMMISSIONER, V S P"
02011810001,PROJECT DIR
02011815001,"GVMC, CP, V S P"
02011815005,"GVMC, COMMISSIONER, V S P"
02011815011,"GVMC, COMMISSIONER, V S P"
02011820001,"VUDA, CAO, V S P"
02012002001,"PLANING DEPT, CHIEF PLANING OFFICER, V S P "
02012202007,"PIU (DIV), EXE ENGINEER, V S P"
02012202008,"PRI DIVISION, EXE ENGINEER, V S P"
02012202011,"ZILLA PARISHAD, DYCEO, V S P"
02012204001,"DIST RURAL DEV AGENCY, PROJECT DIR, V S P"
02012204002,"VELUGU(APRPAP), PROJECT DIR, V S P"
02012210003,"RURAL WATER SUPPLIES DIVISION, EXE ENGINEER, V S P "
02012302001,"MANDAL REVENUE OFFICER (URBAN), V S P"
02012302002,"REVENUE DIVL OFFICER, V S P"
02012302004,"MANDAL REVENUE OFFICER, PENDURTHY, V S P"
02012302007,ST (LA) REVENUE VPATNAM
02012302012,SDCOOSO(LA) SPVPATNAM
02012302015,"COLLECTORATE, ADMN OFFICER, V S P"
02012302020,"MANDAL REVENUE OFFICER, GAJUWAKA, V S P"
02012302021,"APIIC, SPECIAL DY COLLECTOR (LA), V S P"
02012302025,"NH5, SPECIAL GRADE DY COLLECTOR(LA), V S P"
02012302027,"APIIC, SEZ-II, SPECIAL DY COLLECTOR(LA), V S P"
02012302029,"LAND ACQUISATION, S T VUDA, V S P"
02012302031,"COLLECTOR, REHABILITATION, V S P"
02012303006,"COMMERCIAL TAX OFFICER, KURPAM MARKET, V S P"
02012304002,"EXCISE SUPDT, ASST ACCTS OFFICER, V S P"
02012308003,"DIST REGISTRAR, V S P "
02012308006,"SUB REGISTRAR, DWARAKANAGAR,V S P"
02012308008,"SUB REGISTRAR, MADHURAWADA, V S P"
02012308009,"SUB REGISTRAR, GAJUWAKA, V S P"
02012308012,"SUB REGISTRAR, PENDHURTHY, V S P"
02012308013,"SUB REGISTRAR, PEDAGANTYADA, V S P"
02012402001,"SOCIAL WELFARE, ASST SOCIAL WELF OFFICER, V S P"
02012402002,"SOCIAL WELFARE, DY DIRECTOR, V S P"
02012408001,"GIRIJAN COOP LTD, GENERAL MANAGER, V S P"
02012501002,"BC WELFARE, DIST WEL OFFICER, V S P"
02012602001,"ROADS & BUILDINGS, EXE ENGINEER, MARRIPALEM, V S P"
02012603001,"TRANSPORT, DY TRANSPORT COMMR, V S P"
03010102002,"AGRL MARKETING COMMITTEE, SECY, KAKINADA"
03010102004,"AGRL, JT DIRECTOR, KAKINADA"
03010102009,"AGRL MARKETING COMMITTEE, SECY, SAMPARA"
03010102010,"AGRL MARKETING COMMITTEE, SECY, TALLAREVU"
03010302019,PRL A P T KAKINADA 
03010302020,PRL G P T KAKINADA 
03010304002,PRL ASD GDC[W] KAKINADA
03010304005,AO P R G C KAKINADA
03010304012,"DEGREE COLLEGE (W), GOVT ASD, KAKINADA"
03010308002,"DIST EDUCATIONAL OFFICER, KAKINADA"
03010308005,"HIGH SCHOOL, PR GOVT, HEAD MASTER, KAKINADA"
03010308006,"HIGH SCHOOL, PR GOVT, HEAD MASTER, KAKINADA"
03010322001,"JAWAHARLAL NEHRU TECH UNIVERSITY, REGISTRAR, KAKINADA"
03010402001,"DIST FOREST OFFICER, KAKINADA"
03010602003,"DIST CIVIL SUPPLY OFFICER, KAKINADA"
03010602005,"DIST CONSUMER FORUM, PRDT, KAKINADA "
03010702001,"DIST TREASURY, DY DIRECTOR, KAKINADA"
03010704001,"INSURANCE (APGLI), DY DIRECTOR, KAKINADA "
03010902001,"RANGARAYYA MEDICAL COLLEGE, ADMN OFFICER, KAKINADA"
03010902002,"GENERAL HOSPITAL, GOVT, ASST DIRECTOR, KAKINADA"
03010903001,"DIST MEDICAL & HEALTH OFFICE, ADMN OFFICER, KAKINADA "
03011003001,"SUB JAIL, SUPDT, KAKINADA"
03011218001,"NATIONAL HIGHWAY WING, ASST PAY & ACCTS OFFICER, KAKINADA"
03011218011,"APE & WIDC, EXE ENGINEER, KAKINADA"
03011306003,"SERICULTURE DEPT, DY DIRECTOR, KAKINADA"
03011502001,"INDUSTRIAL TRAINING INSTITUTE, PRL, KAKINADA "
03011503002,"DY COMMISSIONER, KAKINADA"
03011603011,"PRL JUNIOR CIVIL JUDGE, KAKINADA "
03011603015,"PRL SENIOR CIVIL JUDGE, KAKINADA"
03011603019,"3RD ADDITONAL DIST SESSIONS JUDGE, KAKINADA"
03011604011,"PRL JUNIOR CIVIL JUDGE, KAKINADA "
03011604015,"PRL SENIOR JUDGE, KAKINADA"
03011604019,"3RD ADDL CIVIL JUDGE, KAKINADA"
03011802001,"MUNICIPAL COMMISSIONER, KAKINADA"
03011802002,"MUNICIPAL COMMISSIONER, KAKINADA"
03012002001,"STATISTICS CPO, ASST DIRECTOR, KAKINADA"
03012202010,"ZILLA GRANDHALAYA SAMSTH, SECY, KAKINADA"
03012202011,"ZILLA PARISHAD, CHIEF EXE OFFICER, KAKINADA"
03012202012,"ZILLA PARISHAD, PEO, KAKINADA"
03012202014,"PANCHAYAT RAJ, EXE ENGINEER, KAKINADA "
03012202019,"DIST RURAL DEV AGENCY, PROJECT DIRECOTR, KAKINADA"
03012202028,"PRI, EXE ENGINEER, KAKAINADA"
03012202036,"PANCHAYAT RAJ, EXE ENGINEER, SUPDT ENG,KAKINADA"
03012210001,"RURAL WATER SUPPLY (PR), EXE ENGINEER, KAKINADA"
03012302001,"MANDAL REVENUE OFFICER (URBAN), KAKINADA"
03012302002,"DIST COLLECTOR, KAKINADA"
03012302003,"DIST REVENUE OFFICER, KAKINADA"
03012302004,"MANDAL REVENUE OFFICER, PEDAPUDI "
03012302005,"MANDAL REVENUE OFFICER, KAJULURU "
03012302006,"MANDAL REVENUE OFFICER (RURAL), KAKINADA"
03012302007,"MANDAL REVENUE OFFICER, TALLAREVU"
03012302009,"MANDAL REVENUE OFFICER, KARAPA"
03012302010,"REVENUE DIVL OFFICER, KAKINADA "
03012302021,"LAND REFORMS, ADMN OFFICER, KAKINADA"
03012308003,"DIST REGISTRAR, KAKINADA"
03012308005,"SUB REGISTRAR OFFICER, SARPAVARAM"
03012406001,"SC CORPORATION, EXE DIRECTOR, KAKINADA"
03012602011,"ROAD & BUILDINGS, PA TO EXE ENGINEER, KAKINADA"
03012603005,"TRANSPORT DEPT, DY TRANSPORT COMMISSIONER, KAKINADA "
04010102006,"AGRL, ADMN OFFICER O/o JT DIRECTOR, ELURU"
04010302003,"DIST LEVEL TRAINING CENTRE, ASST DIRECTOR, ELURU"
04010304001,"JUNIOR COLLEGE, GOVT, PRL, ELURU"
04010307002,"JUNIOR COLLEGE, GOVT, PRL, PEDAPADU"
04010308001,"DIST EDUCATIONAL OFFICER, ELURU"
04010308003,"DIST EDUCATIONAL OFFICER, ELURU"
04010308015,"APEWIDC, EXE ENGINEER, ELURU"
04010313002,"ZILLA GRANDHALAYA SAMSTH, SECY, ELURU"
04010404001,"NREDCAP, EXE ENGINEER, ELURU"
04010702001,"DIST TREASURY, ASST DIRECTOR, ELURU, WG DIST"
04010703006,DIST AUDIT OFFICER (SA) ELURU
04010704001,"DIST INSURANCE(APGLI), RDD OFFICE, ELURU"
04011207001,"GROUND WATER DEPT, ASST DIRECTOR,BO ELURU"
04011307001,"MINES & GEOLOGY, ASST DIRECTOR, ELURU"
04011503001,"LABOUR DEPT, JOINT COMMISSIONER, ELURU"
04011503003,"LABOUR DEPT,DY COMMISSIONER, ELURU "
04011603001,"DIST JUDGE, ELURU"
04011603002,"IST ADDL DIST SESSIONS JUDGE, ELURU"
04011603003,"ADDL SENIOR CIVIL JUDGE, ELURU"
04011603004,"PRL SENIOR CIVIL JUDGE, ELURU"
04011603005,"PRLJUNIOR CIVIL JUDGE, ELURU"
04011603014,"IST ADDL JUNIOR CIVIL JUDGE, ELURU"
04011603015,"OFFICIAL RECEIVER, ELURU, WG DIST"
04011603017,RENT CONTROLLER (PDM) ELURU
04011603023,"DIST LEGAL SERVICES AUTHORITY, ELURU "
04011802001,"MUNICIPAL COMMISSIONER, ELURU"
04011810001,"AP STATE HOUSING CORP LTD, PROJECT DIR, ELURU"
04012002001,"CHIEF PLANING OFFICER, ELURU, WG DIST"
04012002002,"CHIEF PLANNING OFFICER, ELURU"
04012202001,"ZILLA PARISHAD, PEO, ELURU"
04012202002,"ZILLA PARISHAD, DY CHIEF EXE OFFICER, ELURU"
04012202003,"DIST SC SCS LTD, EXE DIRECTOR, ELURU"
04012202009,"ZILLA PARISHAD, DY CHIEF EXE OFFICER, ELURU, WG DIST"
04012202027,"RURAL WATER SUPPLY PROJECT, EXE ENGINEER (PR), ELURU"
04012202227,"PRI DIVISON, EXE ENGINEER, ELURU"
04012204001,"DIST RURAL DEV AGENCY, PROJECT DIR, ELURU"
04012207002,"RURAL WATER SUPPLY PROJECT, EXE ENGINEER (PR), ELURU"
04012302001,"LAND REVENUE, SPECIAL TAHSILDAR, ELURU"
04012302003,JANMABHUMI FUNDS
04012302004,"COLLECTORATE, ADMN OFFICER, ELURU, WG DIST"
04012302005,"REVENUE DIVL OFFICER,ELURU"
04012302006,"MANDAL REVENUE OFFICER, ELURU"
04012302020,"DIST REVENUE OFFICER, ELURU, WG DIST"
04012303001,"COMMERCIAL TAXES, DY COMMISSIONER, ELURU "
04012402001,"SOCIAL WELFARE, DY DIRECTOR, ELURU"
04012602001,"ROADS & BUILDINGS, SUPT ENG, ELURU CIRCLE, ELURU "
04012602006,"ROADS & BUILDINGS, EXE ENGINEER, WG DIVISION, ELURU "
04012603001,"TRANSPORT DY COMMISSIONER, ELURU "
04012703001,"DISABLED WELFARE, ASST DIRECTOR, ELURU, WG DIST"
05010102002,"AGRL, ASST DIRECTORO/O JD, MACHILIPATNAM"
05010102003,"AGRL TECHNOLOGY MANAGEMENT AGENCY, PD, MACHILIPATNAM"
05010104001,"AGRL MARKETING COMMITTEE, SECY, MACHILIPATNAM"
05010302001,"POLYTECHNIC COLLEGE, GOVT, PRL, MACHILIPATNAM"
05010307002,"JUNIOR COLLEGE FOR GIRLS, LAG, PRL, MACHILIPATNAM"
05010307003,"JUNIOR COLLEGE, GOVT, PRL, PEDANA, KRISHNA DIST"
05010307005,"DIST LEGAL SERVICES AUTHORITY, SECY, MACHILIPATNAM"
05010308001,"DIST EDUCATIONAL OFFICER, MACILIPATNAM, KRISHNA DIST"
05010308002,"HIGH SCHOOL, GOVT, HEAD MASTER, MACHILIPATNAM"
05010308005,"PARISHAD EDUCATION OFFICER, MACHILIPATNAM"
05010308019,"HIGH SCHOOL, ZILLA PARISHAD, HEAD MASTER, PENUMALLI"
05010308036,"DIST EDUCATIONAL OFFICER, MACHILIPATNAM"
05010344001,"KRISHNA UNIVERSITY, REGISTRAR, MACHILIPATNAM"
05010602001,"DIST CIVIL SUPPLY OFFICER, MACHILIPATNAM"
05010602003,"DIST COMSUMER FORUM, PRDT, MACHILIPATNAM"
05010702001,"DIST TREASURY, KRISHNA, MACHILIPATNAM"
05010702002,"DIST TREASURY, ASST TRY OFFICER, MACHILIPATNAM"
05010903007,"DIST HOSPITAL, AO, MACHILIPATNAM"
05010903008,"DIST MEDICAL & HEALTH OFFICER, ADMN OFFICER, MACHILIPATNAM, KRISHNA"
05010903010,"DIST COORDINATOR OF HEALTH SERVICES, MACHILIPATNAM, KRISHNA DIST"
05010904007,"DIST MEDICAL & HEALTH OFFICER, MACHILIPATNAM, KRISHNA"
05010909001,"NTR UNIVERSITY OF HEALTH SCIENCES, FIN OFFICER, VJW, KRISHNA"
05011603002,"DIST JUDGE, MACHILIPATNAM, KRISHNA DIST"
05011603003,"SUB JUDGE, MACHILIPATNAM, KRISHNA DIST"
05011603004,"PRL DIST MUNSIFJUDGE, MACHILIPATNAM, KRISHNA DIST"
05011603008,O RMACHILIPATNAM
05011802001,"MUNICIPALITY, COMMISSIONER(G), MACHILIPATNAM"
05011802002,"MUNICIPALITY, COMMISSIONER(SE), MACHILIPATNAM"
05011802003,"MUNICIPALITY, COMMISSIONER(EE), MACHILIPATNAM"
05011802004,"MUNICIPALITY, COMMISSIONER(G), MACHILIPATNAM"
05012002001,"CHIEF PLANNING OFFICER, MACHILIPATNAM, KRISHNA DIST"
05012202002,"ZILLA PARISHAD, DY DIST DEVE OFFR, MACHILIPATNAM, KRISHNA DIST"
05012202004,"PANCHAYAT RAJ, EXE ENGINEER, MACHILIPATNAM, KRISHNA DIST"
05012202007,"ZILLA GRANDHALAYA SAMSTH, SECY, MACHILIPATNAM, KRISHNA DIST"
05012202021,"ZILLA PARISHAD, PEO, MACHILIPATNAM, KRISHNA DIST"
05012202073,"PRI (PR) DIVISION, EXE ENGINEER, MACHILIPATNAM, KRISHNA DIST"
05012204001,"DIST RURAL DEV AGENCY, PROJECT DIR, MACHILIPATNAM, KRISHNA DIST"
05012302002,"REVENUE DIVL OFFICER, MACHILIPATNAM, KRISHNA DIST"
05012308001,"REGISTRATIONS, ASST DIST REGISTRAR, MACHILIPATNAM, KRISHNA DIST"
05012402001,"SOCIAL WELFARE, DY DIRECTOR, MACHILIPATNAM, KRISHNA DIST"
05012403001,"TRIBAL WELFARE, DIST TRIBAL WELF OFFICER, MTM, KRISHNA DIST"
05012501012,"DIST BC CO-OP SOCIETY, MACHILIPATNAM, KRISHNA DIST"
05012602002,"ROAD & BUILDINGS, EXE ENGINEER, MACHILIPATNAM, KRISHNA DIST"
06010102002,"AGRL, DY DIRECTOR O/o JDA, GUNTUR"
06010104002,"AGRL MARKETING COMMITTEE, SECY, GUNTUR"
06010104003,"ZILLA GRANDHALAYA SAMSTH, SECY, GUNTUR"
06010203002,"FISHERIES, DY DIRECTOR, GUNTUR"
06010302002,"POLYTECHNIC COLLEGE (WOMEN), GOVT, ADMN OFFICER, GUNTUR"
06010302003,"POLYTECHNIC COLLEGE, MBTS GOVT, ADMN OFFICER, GUNTUR"
06010302005,"TEXTILE TECHNOLOGY INST, GOVT, PRL, GUNTUR"
06010302007,"POLYTECHNIC COLLEGE FOR WOMEN, GOVT, PRL, GUNTUR"
06010302008,"TEXTILE TECHNOLOGY INST, GOVT, PRL, GUNTUR"
06010302023,"MEDICAL COLLEGE (HF), PRL, GUNTUR"
06010304001,"DEGREE COLLEGE FOR WOMEN, PRL, GUNTUR"
06010307001,"JUNIOR COLLEGE FOR GIRLS, GOVT, PRL, GUNTUR"
06010307002,"S S N O COLLEGE PRL SSNOC,BRODIPET,GUNTUR "
06010307003,"JUNIOR COLLEGE, AM, PRL, GUNTUR"
06010307005,"JUNIOR COLLEGE, SMS & NL, PRL, PRATHIPAD, GUNTUR DIST"
06010307007,"COLLEGE FOR WOMEN, GOVT, GUNTUR"
06010308005,"DIST EDUCATIONAL OFFICER, ASST DIRECTOR, GUNTUR"
06010308009,"DIST INST OF EDU & TRG, PRL, BOYAPALEM, GUNTUR DIST"
06010308010,"SCHOOL EDU, ASST DIR, O/ORJD, GUNTUR"
06010308043,"HIGH SCHOOL, ZP, HM, VANGIPURAM, GUNTUR DIST"
06010308044,"HIGH SCHOOL, ZP, HM, YANAMADALA, GUNTUR DIST"
06010308057,"RAJIV VIDYA MISSION(SSA), FINANCE & ACCOUNTS OFFICER, GUNTUR"
06010313001,"LIBRARIAN, SRL, GUNTUR"
06010313002,STATE REGIONAL LIBRARY GUNTUR 
06010323001,RIGISTRAR ANU NAGARJUNANAGAR
06010402003,"SOCIAL FORESTRY DIVISION, DFO, GUNTUR"
06010402004,"FOREST DEPT, DIV FOREST OFFICER, GUNTUR"
06010602001,"CIVIL SUPPLIES DEPT, DIST CIVIL SUPPLY OFFICER, GUNTUR"
06010702001,"DIST TREASURY, DY DIRECTOR, GUNTUR"
06010703005,"MUNICIPAL CORPORATION GUNTUR, MPL COMMISSIONER, GUNTUR"
06010703006,"MUNICIPAL CORPORATION GUNTUR, EXAMINOR OF ACCOUNTS, GUNTUR"
06010704001,"DIST INSURANCE OFFICE, JT DIRECTOR, GUNTUR "
06010705006,"IRRIGATION CIRCLE, SUPDT, GUNTUR"
06010705013,"LAND ACQUISATION, SPL DY COLLECTOR, UNIT-2, PULICHINTALA, GUNTUR DIST"
06010705015,"APEWIDC, EXE ENGINEER, GUNTUR"
06010705019,"NAGARJUNA SAGAR PROJECT, LINGAMGUNTLA-3, GUNTUR DIST"
06010902003,"MEDICAL COLLEGE, LAY SECY, GUNTUR"
06010902004,"GOVT GENERAL HOSPITAL, LAY SECY, GUNTUR"
06010902007,"MEDICAL COLLEGE, PRL, GUNTUR"
06010903002,"DIST MEDICAL & HEALTH OFFICE, ADMN OFFICER, GUNTUR"
06010903007,"PUBLIC HEALTH CENTRE, MO, MUTTLURU"
06011014001,PRDT DIST FORUM GUNTUR
06011207001,"GROUND WATER DEPT, DY DIRECTOR, GUNTUR"
06011211003,"IRRIGATION DIVISION, EXE ENGINEER, GUNTUR "
06011303001,"ASST DIRECTOR, CPO, GUNTUR"
06011303002,"DIST LEVEL TRN CENTRE, GUNTUR "
06011303003,"LABOUR COURT, PROC OFFICER, GUNTUR"
06011503001,"LABOUR DEPT, DY COMMR, GUNTUR"
06011503006,"LABOUR DEPT, JOINT COMMISSIONER, GUNTUR"
06011603001,"DIST JUDGE, GUNTUR"
06011603003,"2ND ADDL DIST JUDGE, GUNTUR"
06011603008,"PRL MUNSIF MAGISTRATE, GUNTUR"
06011603009,"PRL SUBORDINATE JUDGE, GUNTUR"
06011603011,"OFFICIAL RECEIVER, GUNTUR"
06011603024,"WOMEN CHILD ACT, COMMISSIONER, GUNTUR"
06011603031,"DIST LEGAL SERVICES AUTORITY, GUNTUR "
06011609001,"LEGAL METROLOGY, ASST CONTROLLER, GUNTUR"
06011802002,"MUNICIPAL COMMISSIONER, GUNTUR"
06011804005,"PUBLIC HEALTH, EX ENGINEER, GUNTUR"
06012002001,"CHIEF PLANNING OFFICER, GUNTUR"
06012202002,"ZILLA PARISHAD, CEO, GUNTUR"
06012203004,"PRI DIVISION, EXE ENGINEER, GUNTUR"
06012204001,"DIST PURAL DEV AGENCY, PROJECT OFFICER, GUNTUR"
06012210002,"RURAL WATER SUPPLY, EXE ENGINEER (PR) DIVISION, GUNTUR"
06012301001,"COLLECTORATE, HUZUR SHERISTADAR, GUNTUR"
06012301007,"REVENUE DIVL OFFICER, GUNTUR"
06012303003,"COMMERCIAL TAX OFFICER, KOTHAPETA, GUNTURDIST"
06012306002,"URBAN LAND CEILING, SPL OFFICER, GUNTUR"
06012308001,"REGISTRATION & STAMPS, DIG, GUNTUR "
06012308002,"DIST REGISTRAR, GUNTUR"
06012308005,"SUB REGISTRAR OFFICER, KORITIPADU, GUNTUR DIST"
